nta,trip_count,unique_start_station_count
BK0101,67156,29
BK0102,124179,38
BK0103,6410,11
BK0104,49482,42
BK0201,27218,12
BK0202,62700,31
BK0203,51906,23
BK0204,21677,8
BK0261,10143,7
BK0301,43910,35
BK0302,30788,39
BK0401,31001,30
BK0402,20567,30
BK0601,64912,56
BK0602,56988,26
BK0701,9965,14
BK0702,11297,41
BK0703,4345,16
BK0771,1958,4
BK0801,30967,13
BK0802,36869,39
BK0891,977,3
BK0901,13541,20
BK0902,16809,32
BK1001,5260,51
BK1201,619,2
BK1202,587,4
BK1203,3571,13
BK1401,5722,12
BK1402,3552,9
BK1601,5240,27
BK1602,265,1
BK1701,3570,16
BK1702,223,3
BK1703,1118,12
BK1771,96,1
BK5591,20553,13
BX0101,10370,33
BX0102,7663,20
BX0201,796,7
BX0202,3602,16
BX0301,3161,11
BX0302,4235,12
BX0303,3072,14
BX0391,627,4
BX0401,10132,26
BX0402,2448,10
BX0403,4546,15
BX0491,2340,5
BX0492,364,2
BX0501,3691,21
BX0502,4218,17
BX0503,2126,8
BX0601,1891,10
BX0602,2758,13
BX0603,3212,12
BX0701,2845,17
BX0702,3884,25
BX0703,1973,19
BX0801,1323,11
BX0802,1761,11
BX2691,193,2
BX2791,102,1
MN0101,71975,34
MN0102,57759,23
MN0191,799,3
MN0201,74334,20
MN0202,88087,20
MN0203,85996,22
MN0301,46545,17
MN0302,73830,22
MN0303,147146,39
MN0401,192995,42
MN0402,81789,20
MN0501,115409,22
MN0502,133327,42
MN0601,21264,7
MN0602,37801,10
MN0603,93293,23
MN0604,56891,18
MN0701,58612,14
MN0702,52141,21
MN0703,23277,12
MN0801,51033,16
MN0802,37566,17
MN0803,33304,14
MN0901,14648,11
MN0902,7609,12
MN0903,8069,18
MN1001,25573,13
MN1002,18929,26
MN1101,20675,16
MN1102,23568,27
MN1191,2237,4
MN1201,7534,21
MN1202,6063,23
MN1203,2077,13
MN1291,1061,6
MN1292,721,4
MN6491,38045,10
QN0101,18445,38
QN0102,7289,11
QN0103,22672,18
QN0104,18975,30
QN0105,18697,23
QN0161,1268,3
QN0191,1728,3
QN0201,34199,26
QN0202,16735,34
QN0203,8928,34
QN0261,792,2
QN0271,121,2
QN0301,13738,44
QN0302,2881,26
QN0303,1340,15
QN0401,9352,34
QN0402,2501,25
QN0501,3215,25
QN0502,17793,44
QN0503,1024,4
QN0571,239,1
QN8191,725,5
