nta,median_household_income,population_16plus
BK0101,124903.0,34401
BK0102,145388.0,54638
BK0103,43465.0,25945
BK0104,79033.0,44115
BK0201,186162.0,21219
BK0202,163331.0,33683
BK0203,112875.0,27594
BK0204,126617.0,24671
BK0261,,0
BK0301,80096.0,67460
BK0302,75517.0,76506
BK0401,90813.0,45795
BK0402,75673.0,51430
BK0471,,0
BK0501,63480.0,32988
BK0502,56323.0,33189
BK0503,56229.0,40708
BK0504,35815.0,13565
BK0505,52685.0,36528
BK0571,,0
BK0601,131836.0,49437
BK0602,195859.0,47450
BK0701,143449.0,20210
BK0702,83835.0,40417
BK0703,58683.0,33569
BK0771,,0
BK0801,156985.0,19575
BK0802,78094.0,72407
BK0891,,0
BK0901,74676.0,42055
BK0902,73114.0,38470
BK1001,92738.0,69360
BK1002,75942.0,32574
BK1061,134894.0,623
BK1091,,0
BK1101,67567.0,76841
BK1102,67745.0,24894
BK1103,72131.0,44373
BK1201,62307.0,23963
BK1202,54785.0,50143
BK1203,90851.0,30430
BK1204,75418.0,26028
BK1301,57629.0,22608
BK1302,41393.0,42425
BK1303,44360.0,24969
BK1391,,0
BK1401,81304.0,56557
BK1402,88317.0,32012
BK1403,71847.0,38447
BK1501,71961.0,38516
BK1502,74297.0,31911
BK1503,75799.0,53988
BK1601,54277.0,32105
BK1602,35485.0,44002
BK1701,77191.0,38115
BK1702,76571.0,28858
BK1703,69832.0,31478
BK1704,55132.0,31043
BK1771,67498.0,22
BK1801,81381.0,53509
BK1802,106047.0,35361
BK1803,81336.0,67845
BK1891,,0
BK1892,,0
BK1893,,0
BK5591,,0
BK5691,137498.0,13
BK5692,,0
BK5693,,0
BX0101,30199.0,42553
BX0102,32606.0,30879
BX0201,40832.0,10760
BX0202,39181.0,30971
BX0291,,0
BX0301,32026.0,26947
BX0302,28140.0,17816
BX0303,40734.0,22347
BX0391,,0
BX0401,42205.0,52628
BX0402,40312.0,23842
BX0403,43385.0,38356
BX0491,,0
BX0492,,0
BX0501,36016.0,41590
BX0502,44118.0,36045
BX0503,39516.0,24126
BX0601,28672.0,13236
BX0602,37559.0,24609
BX0603,32710.0,28059
BX0701,43366.0,35092
BX0702,46618.0,40927
BX0703,48692.0,30752
BX0801,57110.0,26812
BX0802,52386.0,18381
BX0803,109535.0,39470
BX0901,43452.0,51478
BX0902,51609.0,28934
BX0903,51834.0,29467
BX0904,61442.0,23178
BX0991,,0
BX1001,55166.0,12211
BX1002,84453.0,39168
BX1003,75987.0,22790
BX1004,64204.0,31126
BX1071,,0
BX1091,,0
BX1101,68188.0,22667
BX1102,78057.0,18734
BX1103,89199.0,23683
BX1104,45598.0,26624
BX1161,,480
BX1201,54678.0,44679
BX1202,69232.0,41772
BX1203,77649.0,40493
BX1271,,0
BX2691,106249.0,56
BX2791,67498.0,26
BX2891,45499.0,36
MN0101,198961.0,42669
MN0102,200000.0,19520
MN0191,,0
MN0201,132900.0,20098
MN0202,174062.0,29212
MN0203,168629.0,30051
MN0301,34385.0,33951
MN0302,58841.0,40677
MN0303,76136.0,63253
MN0401,126272.0,56623
MN0402,105839.0,51733
MN0501,182280.0,27496
MN0502,148446.0,20454
MN0601,160855.0,19394
MN0602,153720.0,23913
MN0603,141463.0,50375
MN0604,170196.0,37976
MN0661,,0
MN0701,164712.0,58260
MN0702,159333.0,84372
MN0703,100165.0,45157
MN0801,137355.0,68256
MN0802,200000.0,46036
MN0803,147475.0,70123
MN0901,87452.0,34703
MN0902,46819.0,18085
MN0903,68527.0,45434
MN1001,74007.0,40837
MN1002,51386.0,70709
MN1101,42076.0,49182
MN1102,39957.0,51381
MN1191,,2321
MN1201,56929.0,65546
MN1202,78465.0,64582
MN1203,68523.0,31823
MN1291,,0
MN1292,,14
MN6491,,0
QN0101,99639.0,41735
QN0102,92319.0,11630
QN0103,106539.0,43050
QN0104,79177.0,32279
QN0105,63572.0,23231
QN0151,,3538
QN0161,174998.0,43
QN0171,,0
QN0191,,0
QN0201,162099.0,23856
QN0202,80933.0,40561
QN0203,76333.0,40181
QN0261,,0
QN0271,,0
QN0301,76981.0,78435
QN0302,81328.0,22846
QN0303,80332.0,30972
QN0401,71466.0,82725
QN0402,66188.0,53196
QN0501,85360.0,33998
QN0502,83952.0,56998
QN0503,93584.0,28901
QN0504,92989.0,29150
QN0571,,0
QN0572,,0
QN0573,,0
QN0574,174998.0,12
QN0601,80469.0,24308
QN0602,103420.0,75935
QN0701,91788.0,24748
QN0702,96690.0,24299
QN0703,104357.0,19799
QN0704,73518.0,45342
QN0705,59016.0,26040
QN0706,73641.0,15962
QN0707,51113.0,52740
QN0761,,0
QN0791,,0
QN0801,85596.0,27635
QN0802,76746.0,29566
QN0803,93941.0,17032
QN0804,87965.0,20414
QN0805,87638.0,31307
QN0871,,0
QN0891,,0
QN0901,91115.0,19812
QN0902,87270.0,27605
QN0903,86469.0,19766
QN0904,87067.0,21350
QN0905,91556.0,34073
QN1001,98335.0,67853
QN1002,82476.0,18771
QN1003,94559.0,24528
QN1091,,0
QN1101,92728.0,28801
QN1102,110049.0,29079
QN1103,115480.0,21742
QN1104,102730.0,20635
QN1191,,97
QN1201,59944.0,46320
QN1202,74912.0,33429
QN1203,82152.0,34640
QN1204,73248.0,26381
QN1205,100043.0,45425
QN1206,84178.0,18979
QN1301,110237.0,19786
QN1302,107765.0,22997
QN1303,95650.0,47535
QN1304,114138.0,16994
QN1305,112321.0,22836
QN1306,113251.0,19574
QN1307,110038.0,22682
QN1371,,0
QN1401,58632.0,46718
QN1402,53981.0,31981
QN1403,112035.0,20498
QN1491,,0
QN8081,,0
QN8191,,0
QN8291,,0
QN8381,,0
QN8491,,0
QN8492,200000.0,8
SI0101,70449.0,16254
SI0102,57276.0,14076
SI0103,73470.0,18994
SI0104,104132.0,28640
SI0105,120470.0,25821
SI0106,76168.0,15900
SI0107,88011.0,26226
SI0191,109867.0,42
SI0201,85557.0,30582
SI0202,93173.0,23207
SI0203,109072.0,26414
SI0204,98921.0,35310
SI0291,,0
SI0301,109406.0,16818
SI0302,119220.0,47501
SI0303,111509.0,25344
SI0304,121815.0,33164
SI0305,134828.0,13834
SI0391,184998.0,43
SI9561,86784.0,324
SI9591,,0
SI9592,112498.0,59
SI9593,,0
